,domain,count
0,www.youtube.com,391
1,www.google.com,334
2,www.amazon.com,242
3,www.netflix.com,76
4,mail.google.com,61
5,music.youtube.com,61
6,www.llbean.com,59
7,darksitefinder.com,55
8,www.brooksbrothers.com,45
9,calendar.google.com,41
10,www.tripadvisor.com,29
11,www.paypal.com,28
12,smile.amazon.com,22
13,www.ll.mit.edu,20
14,www.makeuseof.com,20
15,tv.youtube.com,17
16,www.whitewall.com,16
17,gcbommkclmclpchllfjekcdonpmejbdp,15
18,www.instagram.com,15
19,www.viamichelin.com,13
20,feedproxy.google.com,12
21,www.ups.com,11
22,hangouts.google.com,11
23,money.cnn.com,10
24,news.google.com,10
25,www.prodpi.com,9
26,techcrunch.com,9
27,www.nike.com,9
28,github.com,9
29,accounts.google.com,9
30,trends.google.com,8
31,www.shutterevolve.com,8
32,store.dji.com,7
33,stackoverflow.com,7
34,beaverworks.ll.mit.edu,7
35,courses.edx.org,6
36,www.nationsphotolab.com,6
37,chrome.google.com,6
38,imaginecup.microsoft.com,6
39,www.techmeme.com,6
40,www.linkedin.com,5
41,www.shmoop.com,5
42,developers.google.com,5
43,twitter.com,5
44,www.nytimes.com,5
45,www.wheelerschool.org,5
46,cjpalhdlnbpafiamejdnhcphjbkeiagm,4
47,www.dji.com,4
48,finance.yahoo.com,4
49,www.ristorantelacolombina.eu,4
50,adamgrant.us3.list-manage.com,4
51,photos.google.com,4
52,gist.github.com,4
53,www.eventbrite.com,4
54,corporate.myunidays.com,4
55,docs.google.com,4
56,bostonhacks.us18.list-manage.com,4
57,www.bose.com,4
58,mitadmissions.org,4
59,www.allaboutcookies.org,4
60,qz.com,3
61,www.mpix.com,3
62,www.smilealways.io,3
63,docs.python.org,3
64,www.adoramapix.com,3
65,www.pinterest.com,3
66,www.theprintspace.co.uk,3
67,www.facebook.com,3
68,r.srvtrck.com,3
69,mlh.io,3
70,www.egifter.com,3
71,2.python-requests.org,3
72,login.globalsuite.net,3
73,tasty.co,3
74,www.cnn.com,3
75,translate.google.com,3
76,192.168.1.1,3
77,www.mediafire.com,3
78,www.veciofritolin.it,3
79,www.uscyberpatriot.org,3
80,brownentrepreneurship.com,3
81,bit.ly,3
82,brown.us14.list-manage.com,3
83,sei.gatech.edu,3
84,towardsdatascience.com,2
85,www.cnet.com,2
86,www.verizonwireless.com,2
87,consent.yahoo.com,2
88,www.theatlantic.com,2
89,seetheaurora.com,2
90,www.businessinsider.com,2
91,forums.adobe.com,2
92,nielsen.com,2
93,instagram.com,2
94,medium.com,2
95,www.jdoqocy.com,2
96,guce.yahoo.com,2
97,zxing.appspot.com,2
98,www.quantopian.com,2
99,ims-na1.adobelogin.com,2
100,performancesalesandtraining.com,2
101,keep.google.com,2
102,web.mit.edu,2
103,www.hackworks.com,2
104,www.fool.com,2
105,cj.dotomi.com,2
106,trends.google.it,2
107,www.dpbolvw.net,2
108,bbox.blackbaudhosting.com,2
109,2019f.pennapps.com,2
110,amzn.to,2
111,www.listle.io,2
112,www.cs.uri.edu,2
113,adobeid-na1.services.adobe.com,2
114,www.shopnfc.com,2
115,o.honey.io,2
116,forum.xda-developers.com,2
117,www.wayfair.com,2
118,wescpy.blogspot.com,2
119,azure.microsoft.com,2
120,console.developers.google.com,2
121,www.digitaltrends.com,2
122,www.qrstuff.com,2
123,staticxx.facebook.com,2
124,scotinastats.github.io,2
125,pennapps.com,2
126,course.fast.ai,2
127,kajur.net,2
128,www.nielsen.com,2
129,hbr.org,2
130,blogs.yorkschool.com,2
131,people.csail.mit.edu,2
132,wheelerschool.org,2
133,assistivetech.mit.edu,2
134,www.theverge.com,2
135,en.wikipedia.org,2
136,cscamp.cs.uri.edu,2
137,www.emjcd.com,2
138,featurepeek.com,2
139,www.afceaboston.com,1
140,www.zdnet.com,1
141,talk.collegeconfidential.com,1
142,embrace.io,1
143,www.finder.com,1
144,www.khanacademy.org,1
145,www.barchart.com,1
146,devpost.com,1
147,pepy.tech,1
148,grittys.com,1
149,librivox.org,1
150,d1vp8nomjxwyf1.cloudfront.net,1
151,priv-policy.imrworldwide.com,1
152,accounts.youtube.com,1
153,www.cnbc.com,1
154,www.speechanddebate.org,1
155,maps.google.com,1
156,ethboston.devpost.com,1
157,www.pcmag.com,1
158,www.wpi.edu,1
159,www.surveymonkey.com,1
160,www.genzinsights.com,1
161,www.photoworkout.com,1
162,www.swpc.noaa.gov,1
163,i.pinimg.com,1
164,www.bacarotourvenezia.com,1
165,us.whitewall.com,1
166,globeliving.com,1
167,think.mit.edu,1
168,bostonhacks.io,1
169,cdn.djivideos.com,1
170,www.itrakit.co,1
171,docs.python-requests.org,1
172,www.thekickassentrepreneur.com,1
173,www.tasty.co,1
174,help.gototags.com,1
175,10.0.10.1,1
176,www.hackerearth.com,1
177,scratch.mit.edu,1
178,codelabs.developers.google.com,1
179,www.independent.co.uk,1
180,www.printspacenyc.com,1
181,www.bloomberg.com,1
182,www.monaru.io,1
183,www.eventbrite.ca,1
184,hackathon.guide,1
185,whatnerd.com,1
186,venturebeat.com,1
187,discussions.apple.com,1
188,chromewebdata,1
189,everydayinterviewtips.com,1
190,shark-hack-2019.devpost.com,1
191,www.marketwatch.com,1
192,www.adamgrant.net,1
193,leanpub.com,1
194,www.tesla.com,1
195,www.ristoranteallecorone.com,1
196,www.patreon.com,1
197,www.fully.com,1
198,www.buzzfeed.com,1
199,adoramapix,1
200,www.macrumors.com,1
201,www.twilio.com,1
202,dronedj.com,1
203,hackernoon.com,1
204,email.whitewall.com,1
205,help.github.com,1
206,apple.com,1
207,login.microsoftonline.com,1
208,time.com,1
209,s.yimg.com,1
210,www.reviewed.com,1
211,www.paypal-community.com,1
212,sites.google.com,1
213,brownep.typeform.com,1
214,172.20.0.1,1
215,www.vox.com,1
216,www.wired.com,1
217,hackaday.io,1
218,www.theglobeandmail.com,1
219,www.twitter.com,1
220,click.linksynergy.com,1
221,abcnews.go.com,1
222,eth.boston,1
223,accounts.blogger.com,1
224,prescottlibrary.wheelerschool.org,1
225,www.gyft.com,1
226,www.hackru.org,1
227,brownuniversity.force.com,1
228,saugus.pioneercss.org,1
229,www.firstinspires.org,1
230,www.indiegogo.com,1
231,t.co,1
232,trendblog.net,1
233,multimedialearningllc.wordpress.com,1
234,themlbook.com,1
235,gizmodo.com,1
236,www.lifewire.com,1
237,startupatbrown.org,1
238,igg.me,1
239,www.ceres.org,1
240,quotes.wsj.com,1
241,www.fastcompany.com,1
242,www.finecooking.com,1
243,go.skimresources.com,1
244,www.oreilly.com,1
245,thewirecutter.com,1
246,www.deeplearningbook.org,1
247,www.bostonhacks.io,1
248,www.midtype.com,1
249,www.microverse.org,1
250,apps.apple.com,1
251,lh5.googleusercontent.com,1
252,goo.gle,1
253,solid.mit.edu,1
254,scotinastats.rbind.io,1
255,mit-bwsi.formstack.com,1
256,,1
